expression,sentence
"H[maths*3, daa/2] = 8 when maths == 4 and daa == 10","If the first-dimensional variable is 4 and the second-dimensional variable is 10, the value at the position where the first-dimensional variable multiplied by 3 and the second-dimensional variable divided by 2 is 8."
"X[comp+2, bio-3] = 5 provided that comp == 6 or bio == 9","If the first-dimensional variable is 6 or the second-dimensional variable is 9, the value at the position where the first-dimensional variable plus 2 and the second-dimensional variable minus 3 is 5."
"R[engg/2, phy*4] = 12 whenever engg == 6 and phy == 3","If the first-dimensional variable is 6 and the second-dimensional variable is 3, the value at the position where the first-dimensional variable divided by 2 and the second-dimensional variable multiplied by 4 is 12."
"T[xyz*2, rty+1] = 6 if xyz == 5 and rty == 3","If the first-dimensional variable is 5 and the second-dimensional variable is 3, the value at the position where the first-dimensional variable multiplied by 2 and the second-dimensional variable plus 1 is 6."
"Q[abc/3, comp*2] = 7 when abc == 12 and comp == 4","If the first-dimensional variable is 12 and the second-dimensional variable is 4, the value at the position where the first-dimensional variable divided by 3 and the second-dimensional variable multiplied by 2 is 7."
"F[abc+1, rty*2, bio/3] = 9 if abc == 5, rty == 6, and bio == 12","If the first-dimensional variable is 5, the second-dimensional variable is 6, and the third-dimensional variable is 12, the value at the position where the first-dimensional variable plus 1, the second-dimensional variable multiplied by 2, and the third-dimensional variable divided by 3 is 9."
"P[phy/2, xyz+3, maths-1] = 10 when phy == 14, xyz == 7, and maths == 5","If the first-dimensional variable is 14, the second-dimensional variable is 7, and the third-dimensional variable is 5, the value at the position where the first-dimensional variable divided by 2, the second-dimensional variable plus 3, and the third-dimensional variable minus 1 is 10."
"T[engg*3, bio+5, comp-2] = 11 whenever engg == 4, bio == 10, and comp == 6","If the first-dimensional variable is 4, the second-dimensional variable is 10, and the third-dimensional variable is 6, the value at the position where the first-dimensional variable multiplied by 3, the second-dimensional variable plus 5, and the third-dimensional variable minus 2 is 11."
"Z[rty-1, phy/2, xyz*4] = 8 provided that rty == 3, phy == 16, and xyz == 2","If the first-dimensional variable is 3, the second-dimensional variable is 16, and the third-dimensional variable is 2, the value at the position where the first-dimensional variable minus 1, the second-dimensional variable divided by 2, and the third-dimensional variable multiplied by 4 is 8."
"Q[abc+2, comp-3, maths*3] = 6 if abc == 7, comp == 10, and maths == 3","If the first-dimensional variable is 7, the second-dimensional variable is 10, and the third-dimensional variable is 3, the value at the position where the first-dimensional variable plus 2, the second-dimensional variable minus 3, and the third-dimensional variable multiplied by 3 is 6."
P[xyz+3] = 7 if xyz == 4,"If the first-dimensional variable is 4, the value at the position where the first-dimensional variable plus 3 is 7."
F[abc*2] = 10 if abc == 5,"If the first-dimensional variable is 5, the value at the position where the first-dimensional variable multiplied by 2 is 10."
Q[rty/3] = 6 when rty == 9,"If the first-dimensional variable is 9, the value at the position where the first-dimensional variable divided by 3 is 6."
Z[maths-4] = 8 whenever maths == 12,"If the first-dimensional variable is 12, the value at the position where the first-dimensional variable minus 4 is 8."
T[phy+5] = 2 provided that phy == 7,"If the first-dimensional variable is 7, the value at the position where the first-dimensional variable plus 5 is 2."
R[bio*3] = 9 if bio == 3,"If the first-dimensional variable is 3, the value at the position where the first-dimensional variable multiplied by 3 is 9."
Y[comp/4] = 3 if comp == 12,"If the first-dimensional variable is 12, the value at the position where the first-dimensional variable divided by 4 is 3."
P[engg-2] = 5 when engg == 7,"If the first-dimensional variable is 7, the value at the position where the first-dimensional variable minus 2 is 5."
F[science*4] = 16 whenever science == 4,"If the first-dimensional variable is 4, the value at the position where the first-dimensional variable multiplied by 4 is 16."
T[daa/2] = 6 if daa == 12,"If the first-dimensional variable is 12, the value at the position where the first-dimensional variable divided by 2 is 6."
"Q[xyz+2, bio-1] = 8 if xyz == 6 and bio == 5","If the first-dimensional variable is 6 and the second-dimensional variable is 5, the value at the position where the first-dimensional variable plus 2 and the second-dimensional variable minus 1 is 8."
"Z[abc*3, comp/3] = 9 when abc == 2 and comp == 9","If the first-dimensional variable is 2 and the second-dimensional variable is 9, the value at the position where the first-dimensional variable multiplied by 3 and the second-dimensional variable divided by 3 is 9."
"P[phy+4, rty-2] = 7 whenever phy == 6 or rty == 8","If the first-dimensional variable is 6 or the second-dimensional variable is 8, the value at the position where the first-dimensional variable plus 4 and the second-dimensional variable minus 2 is 7."
"F[maths/2, bio*3] = 12 provided that maths == 8 and bio == 3","If the first-dimensional variable is 8 and the second-dimensional variable is 3, the value at the position where the first-dimensional variable divided by 2 and the second-dimensional variable multiplied by 3 is 12."
"T[comp-2, daa+5] = 4 if comp == 5 or daa == 7","If the first-dimensional variable is 5 or the second-dimensional variable is 7, the value at the position where the first-dimensional variable minus 2 and the second-dimensional variable plus 5 is 4."
"R[engg*2, science-1] = 6 when engg == 3 and science == 5","If the first-dimensional variable is 3 and the second-dimensional variable is 5, the value at the position where the first-dimensional variable multiplied by 2 and the second-dimensional variable minus 1 is 6."
"Q[xyz/4, phy*3] = 9 provided that xyz == 12 and phy == 4","If the first-dimensional variable is 12 and the second-dimensional variable is 4, the value at the position where the first-dimensional variable divided by 4 and the second-dimensional variable multiplied by 3 is 9."
"F[science+3, daa/2] = 7 whenever science == 6 and daa == 8","If the first-dimensional variable is 6 and the second-dimensional variable is 8, the value at the position where the first-dimensional variable plus 3 and the second-dimensional variable divided by 2 is 7."
"P[comp-1, maths*2] = 5 if comp == 4 and maths == 3","If the first-dimensional variable is 4 and the second-dimensional variable is 3, the value at the position where the first-dimensional variable minus 1 and the second-dimensional variable multiplied by 2 is 5."
"Z[engg/3, rty+4] = 10 when engg == 9 and rty == 5","If the first-dimensional variable is 9 and the second-dimensional variable is 5, the value at the position where the first-dimensional variable divided by 3 and the second-dimensional variable plus 4 is 10."
"F[abc+3, xyz-2, bio*4] = 6 if abc == 7, xyz == 5, and bio == 3","If the first-dimensional variable is 7, the second-dimensional variable is 5, and the third-dimensional variable is 3, the value at the position where the first-dimensional variable plus 3, the second-dimensional variable minus 2, and the third-dimensional variable multiplied by 4 is 6."
"P[rty*2, phy/4, maths+3] = 9 when rty == 3, phy == 8, and maths == 4","If the first-dimensional variable is 3, the second-dimensional variable is 8, and the third-dimensional variable is 4, the value at the position where the first-dimensional variable multiplied by 2, the second-dimensional variable divided by 4, and the third-dimensional variable plus 3 is 9."
"Q[comp-2, bio*3, engg+4] = 7 whenever comp == 4, bio == 5, and engg == 6","If the first-dimensional variable is 4, the second-dimensional variable is 5, and the third-dimensional variable is 6, the value at the position where the first-dimensional variable minus 2, the second-dimensional variable multiplied by 3, and the third-dimensional variable plus 4 is 7."
"T[phy/2, maths+5, daa-3] = 8 provided that phy == 10, maths == 8, and daa == 6","If the first-dimensional variable is 10, the second-dimensional variable is 8, and the third-dimensional variable is 6, the value at the position where the first-dimensional variable divided by 2, the second-dimensional variable plus 5, and the third-dimensional variable minus 3 is 8."
"Z[abc+1, rty*2, bio-3] = 5 if abc == 3, rty == 4, and bio == 6","If the first-dimensional variable is 3, the second-dimensional variable is 4, and the third-dimensional variable is 6, the value at the position where the first-dimensional variable plus 1, the second-dimensional variable multiplied by 2, and the third-dimensional variable minus 3 is 5."
T[i - 2] = T[i - 4] + 6,The value at the position where the first-dimensional variable minus 2 is 6 more than the value at the position where the first-dimensional variable minus 4 is.
P[a - 3] = P[a - 5] + 10,The value at the position where the first-dimensional variable minus 3 is 10 more than the value at the position where the first-dimensional variable minus 5 is.
F[x - 4] = F[x - 6] - 7,The value at the position where the first-dimensional variable minus 4 is 7 less than the value at the position where the first-dimensional variable minus 6 is.
Q[y + 2] = Q[y + 4] + 5,The value at the position where the first-dimensional variable plus 2 is 5 more than the value at the position where the first-dimensional variable plus 4 is.
R[j + 3] = R[j + 5] - 4,The value at the position where the first-dimensional variable plus 3 is 4 less than the value at the position where the first-dimensional variable plus 5 is.
Z[m - 1] = Z[m - 3] * 2,The value at the position where the first-dimensional variable minus 1 is twice the value at the position where the first-dimensional variable minus 3 is.
X[abc - 5] = X[abc - 7] + 12,The value at the position where the first-dimensional variable minus 5 is 12 more than the value at the position where the first-dimensional variable minus 7 is.
H[p + 4] = H[p + 6] / 3,The value at the position where the first-dimensional variable plus 4 is one-third the value at the position where the first-dimensional variable plus 6 is.
L[k - 2] = L[k - 4] + 9,The value at the position where the first-dimensional variable minus 2 is 9 more than the value at the position where the first-dimensional variable minus 4 is.
S[q + 1] = S[q + 3] * 5,The value at the position where the first-dimensional variable plus 1 is 5 times the value at the position where the first-dimensional variable plus 3 is.
T[r] = T[r - 1] + 5,The value is 5 more than the value at the position where the first-dimensional variable is 1 less.
T[y * 9] = T[y + 2] + 1,The value at the position where the first-dimensional variable is multiplied by 9 is 1 more than the value at the position where the first-dimensional variable is 2 more.
P[a + 3] = P[a - 2] * 2,The value at the position where the first-dimensional variable is 3 more is twice the value at the position where the first-dimensional variable is 2 less.
Q[x - 4] = Q[x * 3] - 7,The value at the position where the first-dimensional variable is 4 less is 7 less than the value at the position where the first-dimensional variable is multiplied by 3.
R[j / 2] = R[j + 1] + 4,The value at the position where the first-dimensional variable is divided by 2 is 4 more than the value at the position where the first-dimensional variable is 1 more.
Z[m + 5] = Z[m - 3] * 3,The value at the position where the first-dimensional variable is 5 more is 3 times the value at the position where the first-dimensional variable is 3 less.
X[abc - 2] = X[abc + 4] - 10,The value at the position where the first-dimensional variable is 2 less is 10 less than the value at the position where the first-dimensional variable is 4 more.
H[p * 4] = H[p / 2] / 5,The value at the position where the first-dimensional variable is multiplied by 4 is one-fifth the value at the position where the first-dimensional variable is divided by 2.
L[k / 3] = L[k * 2] + 8,The value at the position where the first-dimensional variable is divided by 3 is 8 more than the value at the position where the first-dimensional variable is multiplied by 2.
S[q - 1] = S[q * 3] * 7,The value at the position where the first-dimensional variable is 1 less is 7 times the value at the position where the first-dimensional variable is multiplied by 3.
T[a] = T[a - 1] + 4,The value is 4 more than the value at the position where the first-dimensional variable is 1 less.
P[x + 3] = P[x - 2] * 2,The value at the position where the first-dimensional variable is 3 more is twice the value at the position where the first-dimensional variable is 2 less.
Q[r - 5] = Q[r - 3] + 7,The value at the position where the first-dimensional variable is 5 less is 7 more than the value at the position where the first-dimensional variable is 3 less.
R[y / 2] = R[y + 4] / 3,The value at the position where the first-dimensional variable is divided by 2 is one-third the value at the position where the first-dimensional variable is 4 more.
Z[m * 3] = Z[m - 4] + 6,The value at the position where the first-dimensional variable is multiplied by 3 is 6 more than the value at the position where the first-dimensional variable is 4 less.
L[abc + 5] = L[abc - 1] - 8,The value at the position where the first-dimensional variable is 5 more is 8 less than the value at the position where the first-dimensional variable is 1 less.
H[p - 2] = H[p / 3] * 4,The value at the position where the first-dimensional variable is 2 less is 4 times the value at the position where the first-dimensional variable is divided by 3.
T[k / 4] = T[k * 2] + 10,The value at the position where the first-dimensional variable is divided by 4 is 10 more than the value at the position where the first-dimensional variable is multiplied by 2.
S[q * 3] = S[q - 1] * 6,The value at the position where the first-dimensional variable is multiplied by 3 is 6 times the value at the position where the first-dimensional variable is 1 less.
P[x] = P[x - 3] + 2,The value is 2 more than the value at the position where the first-dimensional variable is 3 less.
T[r + 1] = T[r + 2] * 5,The value at the position where the first-dimensional variable is 1 more is 5 times the value at the position where the first-dimensional variable is 2 more.
L[a - 3] = L[a * 2] - 9,The value at the position where the first-dimensional variable is 3 less is 9 less than the value at the position where the first-dimensional variable is multiplied by 2.
Q[y + 4] = Q[y / 2] + 7,The value at the position where the first-dimensional variable is 4 more is 7 more than the value at the position where the first-dimensional variable is divided by 2.
R[m - 2] = R[m + 5] / 2,The value at the position where the first-dimensional variable is 2 less is half the value at the position where the first-dimensional variable is 5 more.
P[x - 4] = P[x - 6] + 12,The value at the position where the first-dimensional variable is 4 less is 12 more than the value at the position where the first-dimensional variable is 6 less.
Z[abc + 3] = Z[abc + 2] * 3,The value at the position where the first-dimensional variable is 3 more is 3 times the value at the position where the first-dimensional variable is 2 more.
H[j - 1] = H[j - 3] + 5,The value at the position where the first-dimensional variable is 1 less is 5 more than the value at the position where the first-dimensional variable is 3 less.
X[q * 2] = X[q / 2] - 4,The value at the position where the first-dimensional variable is multiplied by 2 is 4 less than the value at the position where the first-dimensional variable is divided by 2.
F[ty - 3] = F[ty - 5] + 9,The value at the position where the first-dimensional variable is 3 less is 9 more than the value at the position where the first-dimensional variable is 5 less.
T[m / 3] = T[m + 4] / 6,The value at the position where the first-dimensional variable is divided by 3 is one-sixth the value at the position where the first-dimensional variable is 4 more.
R[q + 5] = R[q - 2] * 7,The value at the position where the first-dimensional variable is 5 more is 7 times the value at the position where the first-dimensional variable is 2 less.
P[y - 1] = P[y - 4] + 3,The value at the position where the first-dimensional variable is 1 less is 3 more than the value at the position where the first-dimensional variable is 4 less.
H[k + 2] = H[k / 2] - 8,The value at the position where the first-dimensional variable is 2 more is 8 less than the value at the position where the first-dimensional variable is divided by 2.
X[j * 3] = X[j - 3] + 11,The value at the position where the first-dimensional variable is multiplied by 3 is 11 more than the value at the position where the first-dimensional variable is 3 less.
Z[a / 2] = Z[a + 4] - 6,The value at the position where the first-dimensional variable is divided by 2 is 6 less than the value at the position where the first-dimensional variable is 4 more.
L[q - 1] = L[q * 2] / 3,The value at the position where the first-dimensional variable is 1 less is one-third the value at the position where the first-dimensional variable is multiplied by 2.
T[x + 2] = T[x - 2] + 5,The value at the position where the first-dimensional variable is 2 more is 5 more than the value at the position where the first-dimensional variable is 2 less.
R[j - 4] = R[j + 2] / 2,The value at the position where the first-dimensional variable is 4 less is half the value at the position where the first-dimensional variable is 2 more.
T[r] = T[r - 1] + 5,The value is 5 more than the value at the position where the first-dimensional variable is 1 less.
P[a - 2] = P[a - 4] + 8,The value at the position where the first-dimensional variable is 2 less is 8 more than the value at the position where the first-dimensional variable is 4 less.
Q[x * 3] = Q[x - 2] - 7,The value at the position where the first-dimensional variable is multiplied by 3 is 7 less than the value at the position where the first-dimensional variable is 2 less.
R[j / 2] = R[j * 2] + 4,The value at the position where the first-dimensional variable is divided by 2 is 4 more than the value at the position where the first-dimensional variable is multiplied by 2.
Z[m + 1] = Z[m - 3] * 3,The value at the position where the first-dimensional variable is 1 more is 3 times the value at the position where the first-dimensional variable is 3 less.
X[abc - 4] = X[abc + 2] - 10,The value at the position where the first-dimensional variable is 4 less is 10 less than the value at the position where the first-dimensional variable is 2 more.
H[p * 2] = H[p / 2] / 5,The value at the position where the first-dimensional variable is multiplied by 2 is one-fifth the value at the position where the first-dimensional variable is divided by 2.
L[k + 3] = L[k - 1] + 7,The value at the position where the first-dimensional variable is 3 more is 7 more than the value at the position where the first-dimensional variable is 1 less.
S[q - 2] = S[q * 3] * 9,The value at the position where the first-dimensional variable is 2 less is 9 times the value at the position where the first-dimensional variable is multiplied by 3.
T[y * 5] = T[y - 3] + 2,The value at the position where the first-dimensional variable is multiplied by 5 is 2 more than the value at the position where the first-dimensional variable is 3 less.
P[er + 4] = P[er - 2] - 6,The value at the position where the first-dimensional variable is 4 more is 6 less than the value at the position where the first-dimensional variable is 2 less.
Q[ty - 1] = Q[ty * 2] + 10,The value at the position where the first-dimensional variable is 1 less is 10 more than the value at the position where the first-dimensional variable is multiplied by 2.
F[x / 3] = F[x + 1] - 12,The value at the position where the first-dimensional variable is divided by 3 is 12 less than the value at the position where the first-dimensional variable is 1 more.
R[j + 5] = R[j - 4] * 2,The value at the position where the first-dimensional variable is 5 more is 2 times the value at the position where the first-dimensional variable is 4 less.
Z[m - 2] = Z[m * 4] / 3,The value at the position where the first-dimensional variable is 2 less is one-third the value at the position where the first-dimensional variable is multiplied by 4.
X[abc + 3] = X[abc / 2] + 7,The value at the position where the first-dimensional variable is 3 more is 7 more than the value at the position where the first-dimensional variable is divided by 2.
H[p - 1] = H[p * 5] - 15,The value at the position where the first-dimensional variable is 1 less is 15 less than the value at the position where the first-dimensional variable is multiplied by 5.
L[k + 4] = L[k - 3] + 9,The value at the position where the first-dimensional variable is 4 more is 9 more than the value at the position where the first-dimensional variable is 3 less.
S[q / 2] = S[q + 6] / 2,The value at the position where the first-dimensional variable is divided by 2 is half the value at the position where the first-dimensional variable is 6 more.
T[y - 5] = T[y * 3] + 8,The value at the position where the first-dimensional variable is 5 less is 8 more than the value at the position where the first-dimensional variable is multiplied by 3.
P[r + 2] = P[r - 1] + 4,The value at the position where the first-dimensional variable is 2 more is 4 more than the value at the position where the first-dimensional variable is 1 less.
Q[a * 2] = Q[a + 5] - 7,The value at the position where the first-dimensional variable is multiplied by 2 is 7 less than the value at the position where the first-dimensional variable is 5 more.
F[x / 4] = F[x * 2] / 3,The value at the position where the first-dimensional variable is divided by 4 is one-third the value at the position where the first-dimensional variable is multiplied by 2.
R[j - 3] = R[j + 6] + 5,The value at the position where the first-dimensional variable is 3 less is 5 more than the value at the position where the first-dimensional variable is 6 more.
Z[m + 2] = Z[m / 2] - 6,The value at the position where the first-dimensional variable is 2 more is 6 less than the value at the position where the first-dimensional variable is divided by 2.
X[abc - 4] = X[abc + 3] * 3,The value at the position where the first-dimensional variable is 4 less is 3 times the value at the position where the first-dimensional variable is 3 more.
H[p * 2] = H[p - 3] + 9,The value at the position where the first-dimensional variable is multiplied by 2 is 9 more than the value at the position where the first-dimensional variable is 3 less.
L[k / 5] = L[k + 2] / 2,The value at the position where the first-dimensional variable is divided by 5 is half the value at the position where the first-dimensional variable is 2 more.
S[q - 4] = S[q + 7] - 10,The value at the position where the first-dimensional variable is 4 less is 10 less than the value at the position where the first-dimensional variable is 7 more.
T[a] = T[a - 1] + 3,The value is 3 more than the value at the position where the first-dimensional variable is 1 less.
P[x + 2] = P[x - 3] * 4,The value at the position where the first-dimensional variable is 2 more is 4 times the value at the position where the first-dimensional variable is 3 less.
Q[r - 4] = Q[r - 6] + 9,The value at the position where the first-dimensional variable is 4 less is 9 more than the value at the position where the first-dimensional variable is 6 less.
R[y / 2] = R[y + 3] / 2,The value at the position where the first-dimensional variable is divided by 2 is half the value at the position where the first-dimensional variable is 3 more.
Z[m * 2] = Z[m - 4] + 8,The value at the position where the first-dimensional variable is multiplied by 2 is 8 more than the value at the position where the first-dimensional variable is 4 less.
L[abc + 1] = L[abc - 2] - 7,The value at the position where the first-dimensional variable is 1 more is 7 less than the value at the position where the first-dimensional variable is 2 less.
H[p - 2] = H[p * 3] + 10,The value at the position where the first-dimensional variable is 2 less is 10 more than the value at the position where the first-dimensional variable is multiplied by 3.
T[k / 3] = T[k + 2] / 4,The value at the position where the first-dimensional variable is divided by 3 is one-fourth the value at the position where the first-dimensional variable is 2 more.
S[q * 2] = S[q - 5] * 5,The value at the position where the first-dimensional variable is multiplied by 2 is 5 times the value at the position where the first-dimensional variable is 5 less.
P[x] = P[x - 2] + 4,The value is 4 more than the value at the position where the first-dimensional variable is 2 less.
T[r + 3] = T[r + 1] * 2,The value at the position where the first-dimensional variable is 3 more is 2 times the value at the position where the first-dimensional variable is 1 more.
L[a - 5] = L[a * 2] - 6,The value at the position where the first-dimensional variable is 5 less is 6 less than the value at the position where the first-dimensional variable is multiplied by 2.
Q[y + 4] = Q[y / 3] + 11,The value at the position where the first-dimensional variable is 4 more is 11 more than the value at the position where the first-dimensional variable is divided by 3.
R[m - 2] = R[m + 5] * 2,The value at the position where the first-dimensional variable is 2 less is twice the value at the position where the first-dimensional variable is 5 more.
P[x - 4] = P[x - 6] + 15,The value at the position where the first-dimensional variable is 4 less is 15 more than the value at the position where the first-dimensional variable is 6 less.
Z[abc + 3] = Z[abc + 4] - 5,The value at the position where the first-dimensional variable is 3 more is 5 less than the value at the position where the first-dimensional variable is 4 more.
H[j - 2] = H[j - 4] + 6,The value at the position where the first-dimensional variable is 2 less is 6 more than the value at the position where the first-dimensional variable is 4 less.
X[q * 4] = X[q / 2] - 3,The value at the position where the first-dimensional variable is multiplied by 4 is 3 less than the value at the position where the first-dimensional variable is divided by 2.
F[ty - 3] = F[ty - 5] * 9,The value at the position where the first-dimensional variable is 3 less is 9 times the value at the position where the first-dimensional variable is 5 less.
T[m / 3] = T[m + 4] / 7,The value at the position where the first-dimensional variable is divided by 3 is one-seventh the value at the position where the first-dimensional variable is 4 more.
R[q + 6] = R[q - 1] + 3,The value at the position where the first-dimensional variable is 6 more is 3 more than the value at the position where the first-dimensional variable is 1 less.
P[y - 2] = P[y - 5] + 4,The value at the position where the first-dimensional variable is 2 less is 4 more than the value at the position where the first-dimensional variable is 5 less.
H[k + 3] = H[k * 2] - 10,The value at the position where the first-dimensional variable is 3 more is 10 less than the value at the position where the first-dimensional variable is multiplied by 2.
X[j * 2] = X[j - 3] + 13,The value at the position where the first-dimensional variable is multiplied by 2 is 13 more than the value at the position where the first-dimensional variable is 3 less.
Z[a / 3] = Z[a + 4] - 7,The value at the position where the first-dimensional variable is divided by 3 is 7 less than the value at the position where the first-dimensional variable is 4 more.
L[q - 2] = L[q * 2] / 4,The value at the position where the first-dimensional variable is 2 less is one-fourth the value at the position where the first-dimensional variable is multiplied by 2.
T[x + 3] = T[x - 2] + 8,The value at the position where the first-dimensional variable is 3 more is 8 more than the value at the position where the first-dimensional variable is 2 less.
R[j - 5] = R[j + 3] / 2,The value at the position where the first-dimensional variable is 5 less is half the value at the position where the first-dimensional variable is 3 more.
T[monkey - 1] = T[monkey - 3] + 4,The value at the position where the first-dimensional variable is 1 less is 4 more than the value at the position where the first-dimensional variable is 3 less.
P[banana + 3] = P[banana - 5] * 6,The value at the position where the first-dimensional variable is 3 more is 6 times the value at the position where the first-dimensional variable is 5 less.
Q[elephant / 2] = Q[elephant + 4] - 7,The value at the position where the first-dimensional variable is divided by 2 is 7 less than the value at the position where the first-dimensional variable is 4 more.
R[pineapple * 3] = R[pineapple - 1] + 8,The value at the position where the first-dimensional variable is multiplied by 3 is 8 more than the value at the position where the first-dimensional variable is 1 less.
Z[cucumber - 4] = Z[cucumber + 6] / 2,The value at the position where the first-dimensional variable is 4 less is half the value at the position where the first-dimensional variable is 6 more.
L[zebra + 5] = L[zebra - 2] * 3,The value at the position where the first-dimensional variable is 5 more is 3 times the value at the position where the first-dimensional variable is 2 less.
H[tiger * 2] = H[tiger / 3] + 9,The value at the position where the first-dimensional variable is multiplied by 2 is 9 more than the value at the position where the first-dimensional variable is divided by 3.
T[lion - 3] = T[lion - 5] + 11,The value at the position where the first-dimensional variable is 3 less is 11 more than the value at the position where the first-dimensional variable is 5 less.
S[apple / 2] = S[apple + 4] - 5,The value at the position where the first-dimensional variable is divided by 2 is 5 less than the value at the position where the first-dimensional variable is 4 more.
P[watermelon + 6] = P[watermelon - 3] + 10,The value at the position where the first-dimensional variable is 6 more is 10 more than the value at the position where the first-dimensional variable is 3 less.
T[starfruit / 3] = T[starfruit * 2] + 12,The value at the position where the first-dimensional variable is divided by 3 is 12 more than the value at the position where the first-dimensional variable is multiplied by 2.
R[dragonfruit - 1] = R[dragonfruit - 4] / 4,The value at the position where the first-dimensional variable is 1 less is one-fourth the value at the position where the first-dimensional variable is 4 less.
Q[kiwi * 2] = Q[kiwi + 3] - 6,The value at the position where the first-dimensional variable is multiplied by 2 is 6 less than the value at the position where the first-dimensional variable is 3 more.
L[grape + 4] = L[grape - 2] * 7,The value at the position where the first-dimensional variable is 4 more is 7 times the value at the position where the first-dimensional variable is 2 less.
H[coconut - 5] = H[coconut - 7] + 8,The value at the position where the first-dimensional variable is 5 less is 8 more than the value at the position where the first-dimensional variable is 7 less.
X[avocado + 1] = X[avocado / 2] - 4,The value at the position where the first-dimensional variable is 1 more is 4 less than the value at the position where the first-dimensional variable is divided by 2.
F[pear * 3] = F[pear - 4] + 13,The value at the position where the first-dimensional variable is multiplied by 3 is 13 more than the value at the position where the first-dimensional variable is 4 less.
T[peach / 2] = T[peach + 5] + 2,The value at the position where the first-dimensional variable is divided by 2 is 2 more than the value at the position where the first-dimensional variable is 5 more.
R[cherry - 6] = R[cherry - 3] * 2,The value at the position where the first-dimensional variable is 6 less is twice the value at the position where the first-dimensional variable is 3 less.
Q[fig + 2] = Q[fig / 4] - 3,The value at the position where the first-dimensional variable is 2 more is 3 less than the value at the position where the first-dimensional variable is divided by 4.
P[lychee - 1] = P[lychee - 3] + 7,The value at the position where the first-dimensional variable is 1 less is 7 more than the value at the position where the first-dimensional variable is 3 less.
T[guava * 2] = T[guava / 2] - 9,The value at the position where the first-dimensional variable is multiplied by 2 is 9 less than the value at the position where the first-dimensional variable is divided by 2.
R[jackfruit / 3] = R[jackfruit - 1] + 6,The value at the position where the first-dimensional variable is divided by 3 is 6 more than the value at the position where the first-dimensional variable is 1 less.
Q[blueberry + 4] = Q[blueberry - 2] * 3,The value at the position where the first-dimensional variable is 4 more is 3 times the value at the position where the first-dimensional variable is 2 less.
Z[strawberry - 5] = Z[strawberry - 8] + 14,The value at the position where the first-dimensional variable is 5 less is 14 more than the value at the position where the first-dimensional variable is 8 less.
H[blackberry + 3] = H[blackberry - 1] / 5,The value at the position where the first-dimensional variable is 3 more is one-fifth the value at the position where the first-dimensional variable is 1 less.
P[raspberry / 2] = P[raspberry * 3] + 8,The value at the position where the first-dimensional variable is divided by 2 is 8 more than the value at the position where the first-dimensional variable is multiplied by 3.
T[orange - 2] = T[orange + 4] - 11,The value at the position where the first-dimensional variable is 2 less is 11 less than the value at the position where the first-dimensional variable is 4 more.
F[mango + 1] = F[mango - 3] * 9,The value at the position where the first-dimensional variable is 1 more is 9 times the value at the position where the first-dimensional variable is 3 less.
Q[tangerine * 4] = Q[tangerine / 2] + 5,The value at the position where the first-dimensional variable is multiplied by 4 is 5 more than the value at the position where the first-dimensional variable is divided by 2.
Jump[cat - 2] = Jump[cat - 4] + 7,The value at the position where the first-dimensional variable is 2 less is 7 more than the value at the position where the first-dimensional variable is 4 less.
Eat[fish + 3] = Eat[fish - 1] * 5,The value at the position where the first-dimensional variable is 3 more is 5 times the value at the position where the first-dimensional variable is 1 less.
Sleep[dog / 2] = Sleep[dog + 2] - 8,The value at the position where the first-dimensional variable is divided by 2 is 8 less than the value at the position where the first-dimensional variable is 2 more.
Run[zebra * 3] = Run[zebra - 2] + 9,The value at the position where the first-dimensional variable is multiplied by 3 is 9 more than the value at the position where the first-dimensional variable is 2 less.
Climb[tree - 1] = Climb[tree - 3] + 10,The value at the position where the first-dimensional variable is 1 less is 10 more than the value at the position where the first-dimensional variable is 3 less.
Fly[bird + 5] = Fly[bird - 2] / 2,The value at the position where the first-dimensional variable is 5 more is half the value at the position where the first-dimensional variable is 2 less.
Dive[shark - 4] = Dive[shark - 6] + 12,The value at the position where the first-dimensional variable is 4 less is 12 more than the value at the position where the first-dimensional variable is 6 less.
Swim[whale * 2] = Swim[whale / 3] * 3,The value at the position where the first-dimensional variable is multiplied by 2 is 3 times the value at the position where the first-dimensional variable is divided by 3.
Crawl[snake + 4] = Crawl[snake - 1] - 6,The value at the position where the first-dimensional variable is 4 more is 6 less than the value at the position where the first-dimensional variable is 1 less.
Hop[rabbit / 3] = Hop[rabbit * 2] + 11,The value at the position where the first-dimensional variable is divided by 3 is 11 more than the value at the position where the first-dimensional variable is multiplied by 2.
Explore[planet - 3] = Explore[planet - 5] / 4,The value at the position where the first-dimensional variable is 3 less is one-fourth the value at the position where the first-dimensional variable is 5 less.
Dig[mole * 4] = Dig[mole - 2] + 7,The value at the position where the first-dimensional variable is multiplied by 4 is 7 more than the value at the position where the first-dimensional variable is 2 less.
Build[house + 6] = Build[house - 4] * 5,The value at the position where the first-dimensional variable is 6 more is 5 times the value at the position where the first-dimensional variable is 4 less.
Draw[art / 2] = Draw[art + 3] - 4,The value at the position where the first-dimensional variable is divided by 2 is 4 less than the value at the position where the first-dimensional variable is 3 more.
Ride[horse - 5] = Ride[horse - 7] + 14,The value at the position where the first-dimensional variable is 5 less is 14 more than the value at the position where the first-dimensional variable is 7 less.
